Carimbo de data/hora,Declaro que entendi o tema do questionário e dou meu consentimento para participar da pesquisa e da apresentação dos resultados,Quantos anos você tem?,Quais plataformas de streaming você utiliza?,"Eu acredito que as plataformas de streaming facilitaram a forma de consumir musicas, séries, filmes e etc. ?","Graças as plataformas de streaming de vídeo a quantidade de conteúdo audiovisual que eu consumo aumentou consideravelmente em comparação com métodos tradicionais de visualização (TV aberta, TV a cabo, DVD, etc.)?",As recomendações personalizadas nas plataformas de streaming influenciam significativamente minhas escolhas de programas de TV e filmes,O acesso sob demanda oferecido pelas plataformas de streaming me permitiu maior flexibilidade para assistir a conteúdo quando e onde desejo.,Eu prefiro que quando lancem uma série que todos os episódios sejam publicados de uma vez ao invés de lançamentos de episódios semanais.,As plataformas de streaming de música e podcasts aumentaram minha frequência de consumo de conteúdo de áudio.,Percebi mudanças significativas nos meus padrões de consumo de música e conteúdo de áudio desde que comecei a usar plataformas de streaming.,Percebi que a maior parte dos novos conteúdos que comecei a consumir são resultado de recomendações das plataformas de streaming e não de busca individual. ,Se eu quiser consumir algo que não se encontra em uma plataforma de streaming minha vontade de consumir diminui consideravelmente.
03/11/2023 19:39:46,Sim,Entre 20  a 30.,"Plataformas como Spotify, Amazon Music, Itunes music e etc.",5,5,2,4,1,2,5,2,4
03/11/2023 19:41:05,Sim,Entre 20  a 30.,"Plataformas como Netflix, Prime Video, Disney+ e etc, Plataformas como Spotify, Amazon Music, Itunes music e etc.",5,5,2,3,5,2,4,3,3
03/11/2023 19:42:33,Sim,Menos de 20.,"Plataformas como Netflix, Prime Video, Disney+ e etc, Plataformas como Spotify, Amazon Music, Itunes music e etc.",5,3,4,4,3,5,5,4,2
03/11/2023 19:46:19,Sim,Entre 20  a 30.,"Plataformas como Netflix, Prime Video, Disney+ e etc, Plataformas como Spotify, Amazon Music, Itunes music e etc.",4,2,4,4,5,2,2,3,1
03/11/2023 19:47:44,Sim,Menos de 20.,"Plataformas como Netflix, Prime Video, Disney+ e etc, Plataformas como Spotify, Amazon Music, Itunes music e etc.",5,5,5,5,5,5,3,5,1
03/11/2023 19:49:11,Sim,Menos de 20.,"Plataformas como Netflix, Prime Video, Disney+ e etc",5,3,1,5,2,1,1,1,2
03/11/2023 19:52:07,Sim,Mais de 40.,"Plataformas como Spotify, Amazon Music, Itunes music e etc.",5,5,2,5,5,1,5,5,5
03/11/2023 19:55:28,Sim,Entre 20  a 30.,"Plataformas como Netflix, Prime Video, Disney+ e etc, Plataformas como Spotify, Amazon Music, Itunes music e etc.",5,4,3,5,5,5,2,1,4
03/11/2023 20:00:07,Sim,Menos de 20.,"Plataformas como Netflix, Prime Video, Disney+ e etc",5,4,3,4,3,2,4,3,1
03/11/2023 20:07:32,Sim,Menos de 20.,"Plataformas como Netflix, Prime Video, Disney+ e etc",4,5,2,4,1,3,4,2,2
03/11/2023 20:15:04,Sim,Mais de 40.,Não utilizo plataformas de streaming,4,1,1,2,3,3,4,3,3
03/11/2023 20:15:18,Sim,Entre 20  a 30.,"Plataformas como Netflix, Prime Video, Disney+ e etc, Plataformas como Spotify, Amazon Music, Itunes music e etc.",5,5,5,3,5,1,5,4,4
03/11/2023 20:15:26,Sim,Entre 20  a 30.,"Plataformas como Netflix, Prime Video, Disney+ e etc, Plataformas como Spotify, Amazon Music, Itunes music e etc.",5,5,2,5,1,5,4,2,2
03/11/2023 20:19:06,Sim,Menos de 20.,"Plataformas como Netflix, Prime Video, Disney+ e etc, Plataformas como Spotify, Amazon Music, Itunes music e etc.",5,5,5,5,5,5,5,3,3
03/11/2023 20:19:10,Sim,Entre 20  a 30.,"Plataformas como Netflix, Prime Video, Disney+ e etc",5,5,4,5,4,5,4,2,1
03/11/2023 20:25:39,Sim,Mais de 40.,"Plataformas como Netflix, Prime Video, Disney+ e etc",5,5,5,5,2,4,5,5,1
03/11/2023 20:32:15,Sim,Mais de 40.,"Plataformas como Spotify, Amazon Music, Itunes music e etc.",5,5,4,5,5,5,5,4,4
03/11/2023 20:33:12,Sim,Entre 20  a 30.,"Plataformas como Netflix, Prime Video, Disney+ e etc, Plataformas como Spotify, Amazon Music, Itunes music e etc.",5,5,5,5,5,5,3,5,4
03/11/2023 20:35:27,Sim,Entre 20  a 30.,"Plataformas como Netflix, Prime Video, Disney+ e etc, Plataformas como Spotify, Amazon Music, Itunes music e etc.",5,5,2,5,5,1,1,3,4
03/11/2023 20:37:35,Sim,Entre 20  a 30.,"Plataformas como Netflix, Prime Video, Disney+ e etc, Plataformas como Spotify, Amazon Music, Itunes music e etc.",5,2,3,5,1,4,5,3,3
03/11/2023 20:45:29,Sim,Menos de 20.,Não utilizo plataformas de streaming,5,5,5,4,5,5,4,4,3
03/11/2023 20:46:26,Sim,Entre 30 a 40.,"Plataformas como Netflix, Prime Video, Disney+ e etc",5,5,4,4,5,3,4,3,2
03/11/2023 20:48:42,Sim,Entre 20  a 30.,"Plataformas como Netflix, Prime Video, Disney+ e etc, Plataformas como Spotify, Amazon Music, Itunes music e etc.",5,4,4,5,5,5,4,3,4
03/11/2023 21:16:16,Sim,Entre 30 a 40.,"Plataformas como Netflix, Prime Video, Disney+ e etc, Plataformas como Spotify, Amazon Music, Itunes music e etc.",5,4,4,4,3,3,4,4,3
03/11/2023 21:26:24,Sim,Mais de 40.,Não utilizo plataformas de streaming,3,3,1,3,5,1,1,1,1
03/11/2023 21:28:29,Sim,Entre 30 a 40.,"Plataformas como Netflix, Prime Video, Disney+ e etc",5,5,4,5,2,5,4,3,4
03/11/2023 21:33:58,Sim,Entre 20  a 30.,"Plataformas como Netflix, Prime Video, Disney+ e etc, Plataformas como Spotify, Amazon Music, Itunes music e etc.",5,3,2,5,5,3,2,2,4
03/11/2023 21:42:15,Sim,Entre 30 a 40.,"Plataformas como Netflix, Prime Video, Disney+ e etc",4,4,4,4,5,2,2,1,2
03/11/2023 21:50:16,Sim,Entre 30 a 40.,"Plataformas como Netflix, Prime Video, Disney+ e etc",5,5,5,5,3,3,2,4,1
03/11/2023 21:50:26,Sim,Mais de 40.,"Plataformas como Netflix, Prime Video, Disney+ e etc",5,5,5,5,5,5,5,5,1
03/11/2023 21:51:31,Sim,Entre 20  a 30.,"Plataformas como Netflix, Prime Video, Disney+ e etc, Plataformas como Spotify, Amazon Music, Itunes music e etc.",4,5,3,2,5,5,5,2,1
03/11/2023 22:38:58,Sim,Entre 30 a 40.,"Plataformas como Netflix, Prime Video, Disney+ e etc",5,5,3,5,5,4,5,3,5
03/11/2023 23:13:19,Sim,Menos de 20.,"Plataformas como Netflix, Prime Video, Disney+ e etc, Plataformas como Spotify, Amazon Music, Itunes music e etc.",5,4,2,4,3,1,4,1,1
03/11/2023 23:49:31,Sim,Entre 20  a 30.,"Plataformas como Spotify, Amazon Music, Itunes music e etc.",3,4,2,3,4,4,3,2,1
04/11/2023 01:55:36,Sim,Entre 20  a 30.,"Plataformas como Netflix, Prime Video, Disney+ e etc, Plataformas como Spotify, Amazon Music, Itunes music e etc.",5,3,5,5,5,2,3,5,4
04/11/2023 05:34:17,Sim,Entre 20  a 30.,"Plataformas como Netflix, Prime Video, Disney+ e etc",5,5,4,3,5,5,3,2,3
04/11/2023 06:42:55,Sim,Entre 20  a 30.,"Plataformas como Spotify, Amazon Music, Itunes music e etc.",5,2,2,3,2,2,2,2,2
04/11/2023 07:37:29,Sim,Entre 20  a 30.,"Plataformas como Netflix, Prime Video, Disney+ e etc, Plataformas como Spotify, Amazon Music, Itunes music e etc.",5,3,3,5,3,5,5,3,2
04/11/2023 08:56:04,Sim,Entre 20  a 30.,"Plataformas como Netflix, Prime Video, Disney+ e etc, Plataformas como Spotify, Amazon Music, Itunes music e etc.",5,2,2,4,5,2,4,3,2
04/11/2023 09:20:04,Sim,Entre 20  a 30.,"Plataformas como Netflix, Prime Video, Disney+ e etc, Plataformas como Spotify, Amazon Music, Itunes music e etc.",5,5,3,5,3,3,4,3,3
04/11/2023 10:08:33,Sim,Mais de 40.,Não utilizo plataformas de streaming,2,2,2,2,5,2,2,2,2
04/11/2023 11:18:15,Sim,Entre 30 a 40.,"Plataformas como Netflix, Prime Video, Disney+ e etc, Plataformas como Spotify, Amazon Music, Itunes music e etc.",5,3,4,5,5,4,2,3,2
04/11/2023 11:26:35,Sim,Entre 20  a 30.,"Plataformas como Netflix, Prime Video, Disney+ e etc",5,5,2,5,5,1,3,2,1
04/11/2023 12:27:07,Sim,Entre 30 a 40.,"Plataformas como Netflix, Prime Video, Disney+ e etc, Plataformas como Spotify, Amazon Music, Itunes music e etc.",5,1,4,5,5,5,4,1,3
04/11/2023 12:35:21,Sim,Entre 20  a 30.,"Plataformas como Netflix, Prime Video, Disney+ e etc, Plataformas como Spotify, Amazon Music, Itunes music e etc.",5,5,4,5,5,5,4,3,4
04/11/2023 13:07:11,Sim,Entre 20  a 30.,"Plataformas como Netflix, Prime Video, Disney+ e etc, Plataformas como Spotify, Amazon Music, Itunes music e etc.",5,3,4,5,3,5,2,2,2
04/11/2023 13:17:39,Sim,Mais de 40.,"Plataformas como Netflix, Prime Video, Disney+ e etc",4,4,4,4,4,4,2,4,3
04/11/2023 13:53:15,Sim,Mais de 40.,"Plataformas como Netflix, Prime Video, Disney+ e etc",4,5,3,4,5,4,2,4,4
04/11/2023 14:22:01,Sim,Entre 30 a 40.,"Plataformas como Netflix, Prime Video, Disney+ e etc, Plataformas como Spotify, Amazon Music, Itunes music e etc.",4,4,3,5,5,4,5,2,4
04/11/2023 14:31:13,Sim,Entre 20  a 30.,Não utilizo plataformas de streaming,5,3,3,4,3,3,2,3,2
04/11/2023 16:22:29,Sim,Entre 20  a 30.,"Plataformas como Netflix, Prime Video, Disney+ e etc, Plataformas como Spotify, Amazon Music, Itunes music e etc.",5,5,2,5,4,4,3,2,4
04/11/2023 17:19:52,Sim,Entre 20  a 30.,"Plataformas como Netflix, Prime Video, Disney+ e etc",5,3,2,4,5,4,4,2,2
04/11/2023 18:10:37,Sim,Entre 20  a 30.,Não utilizo plataformas de streaming,5,3,3,5,2,3,3,2,4
04/11/2023 18:40:47,Sim,Entre 30 a 40.,"Plataformas como Netflix, Prime Video, Disney+ e etc, Plataformas como Spotify, Amazon Music, Itunes music e etc.",5,5,3,5,5,5,5,2,2
04/11/2023 19:22:13,Sim,Entre 20  a 30.,"Plataformas como Netflix, Prime Video, Disney+ e etc, Plataformas como Spotify, Amazon Music, Itunes music e etc.",4,5,3,5,1,5,5,1,1
04/11/2023 19:22:32,Sim,Entre 20  a 30.,"Plataformas como Netflix, Prime Video, Disney+ e etc",5,5,5,5,3,5,5,5,5
04/11/2023 19:25:59,Sim,Entre 20  a 30.,"Plataformas como Netflix, Prime Video, Disney+ e etc, Plataformas como Spotify, Amazon Music, Itunes music e etc.",5,5,2,4,3,2,3,1,1
04/11/2023 19:26:29,Sim,Entre 20  a 30.,"Plataformas como Netflix, Prime Video, Disney+ e etc",5,3,3,4,5,3,3,4,5
04/11/2023 19:31:50,Sim,Entre 20  a 30.,"Plataformas como Netflix, Prime Video, Disney+ e etc, Plataformas como Spotify, Amazon Music, Itunes music e etc.",4,2,4,4,4,4,4,2,2
04/11/2023 21:08:17,Sim,Entre 20  a 30.,"Plataformas como Netflix, Prime Video, Disney+ e etc, Plataformas como Spotify, Amazon Music, Itunes music e etc.",4,5,3,3,2,4,2,3,4
05/11/2023 11:00:13,Sim,Entre 20  a 30.,"Plataformas como Netflix, Prime Video, Disney+ e etc, Plataformas como Spotify, Amazon Music, Itunes music e etc.",5,4,3,5,1,5,5,2,3
05/11/2023 15:18:42,Sim,Mais de 40.,"Plataformas como Netflix, Prime Video, Disney+ e etc",4,5,4,5,4,4,4,4,4
05/11/2023 16:21:51,Sim,Mais de 40.,"Plataformas como Netflix, Prime Video, Disney+ e etc",3,4,2,4,4,2,2,2,2
05/11/2023 16:23:07,Sim,Entre 30 a 40.,"Plataformas como Netflix, Prime Video, Disney+ e etc, Plataformas como Spotify, Amazon Music, Itunes music e etc.",5,5,5,5,5,3,5,4,1
05/11/2023 17:33:42,Sim,Mais de 40.,Não utilizo plataformas de streaming,5,5,5,5,5,1,1,1,5
06/11/2023 08:06:23,Sim,Entre 20  a 30.,"Plataformas como Netflix, Prime Video, Disney+ e etc, Plataformas como Spotify, Amazon Music, Itunes music e etc.",5,4,3,5,2,3,4,3,3
06/11/2023 08:34:12,Sim,Entre 20  a 30.,"Plataformas como Netflix, Prime Video, Disney+ e etc, Plataformas como Spotify, Amazon Music, Itunes music e etc.",4,1,2,5,1,5,5,2,1
06/11/2023 08:34:55,Sim,Entre 20  a 30.,"Plataformas como Netflix, Prime Video, Disney+ e etc",4,3,2,5,2,1,1,1,4
06/11/2023 08:37:01,Sim,Entre 20  a 30.,"Plataformas como Netflix, Prime Video, Disney+ e etc, Plataformas como Spotify, Amazon Music, Itunes music e etc.",5,5,3,5,3,3,3,2,2
06/11/2023 08:41:15,Sim,Entre 20  a 30.,"Plataformas como Netflix, Prime Video, Disney+ e etc, Plataformas como Spotify, Amazon Music, Itunes music e etc.",5,5,2,4,4,4,4,4,3
06/11/2023 08:43:32,Sim,Entre 20  a 30.,"Plataformas como Netflix, Prime Video, Disney+ e etc, Plataformas como Spotify, Amazon Music, Itunes music e etc.",5,5,3,5,5,5,5,2,4
06/11/2023 09:17:47,Sim,Entre 20  a 30.,"Plataformas como Netflix, Prime Video, Disney+ e etc, Plataformas como Spotify, Amazon Music, Itunes music e etc.",5,2,4,5,3,5,5,3,5
06/11/2023 10:24:42,Sim,Entre 20  a 30.,"Plataformas como Netflix, Prime Video, Disney+ e etc, Plataformas como Spotify, Amazon Music, Itunes music e etc.",5,5,2,5,2,5,5,1,2
06/11/2023 11:01:46,Sim,Entre 20  a 30.,"Plataformas como Netflix, Prime Video, Disney+ e etc",4,5,3,3,5,3,3,3,5
06/11/2023 12:19:43,Sim,Entre 20  a 30.,"Plataformas como Netflix, Prime Video, Disney+ e etc",4,5,3,5,4,4,4,4,5
06/11/2023 15:39:27,Sim,Entre 20  a 30.,"Plataformas como Netflix, Prime Video, Disney+ e etc, Plataformas como Spotify, Amazon Music, Itunes music e etc.",5,3,1,5,5,2,4,1,1
